regions;Unit;Date;Value;Value.1;Couverture
Dakar;;2005;2408736;8;301092
Dakar;;2006;2489621;8;311202.625
Dakar;;2007;2573222;8;321652.75
Dakar;;2008;2659631;9;295514.555555556
Dakar;;2009;2748941;9;305437.888888889
Dakar;;2010;2841250;12;236770.833333333
Dakar;;2011;2936659;12;244721.583333333
Dakar;;2012;3035272;12;252939.333333333
Dakar;;2013;3137196.35;12;261433.029166667
Dakar;;2015;3270064.58;13;251543.429230769
Dakar;;2016;3342086.8;13;257083.6
Dakar;;2017;3418407.51;13;262954.423846154
Dakar;;2018;3499558.16;14;249968.44
Diourbel;;2005;1162975;2;581487.5
Diourbel;;2006;1200310;2;600155
Diourbel;;2007;1238843;2;619421.5
Diourbel;;2008;1278613;2;639306.5
Diourbel;;2009;1319660;2;659830
Diourbel;;2010;1362025;3;454008.333333333
Diourbel;;2011;1405750;3;468583.333333333
Diourbel;;2012;1450878;3;483626
Diourbel;;2013;1497456;3;499152
Diourbel;;2015;1597734;3;532578
Diourbel;;2016;1650658;3;550219.333333333
Diourbel;;2017;1705537;3;568512.333333333
Diourbel;;2018;1762444;3;587481.333333333
Fatick;;2005;637218;1;637218
Fatick;;2006;646389;1;646389
Fatick;;2007;655692;1;655692
Fatick;;2008;665129;0;0
Fatick;;2009;674702;1;674702
Fatick;;2010;684413;1;684413
Fatick;;2011;694264;1;694264
Fatick;;2012;704256;0;0
Fatick;;2013;714392;0;0
Fatick;;2015;748672;1;748672
Fatick;;2016;766542;1;766542
Fatick;;2017;784923;1;784923
Fatick;;2018;803829;1;803829
Kaffrine;;2008;526729;0;0
Kaffrine;;2009;534546;0;0
Kaffrine;;2010;542479;1;542479
Kaffrine;;2011;550530;1;550530
Kaffrine;;2012;558700;1;558700
Kaffrine;;2013;566992;1;566992
Kaffrine;;2015;610189;1;610189
Kaffrine;;2016;633062;1;633062
Kaffrine;;2017;656831;1;656831
Kaffrine;;2018;681531;1;681531
Kaolack;;2008;526729;1;526729
Kaolack;;2009;534546;1;534546
Kaolack;;2010;542479;1;542479
Kaolack;;2011;550530;1;550530
Kaolack;;2012;558700;1;558700
Kaolack;;2013;566992;1;566992
Kaolack;;2015;610189;1;610189
Kaolack;;2016;633062;1;633062
Kaolack;;2017;656831;1;656831
Kaolack;;2018;681531;1;681531
Kolda;;2005;1135655;1;1135655
Kolda;;2006;1158350;1;1158350
Kolda;;2007;1181498;1;1181498
Kolda;;2008;755288;1;755288
Kolda;;2009;792544;1;792544
Kolda;;2010;831638;1;831638
Kolda;;2011;872660;1;872660
Kolda;;2012;915706;1;915706
Kolda;;2013;960875;1;960875
Kolda;;2015;1025881;1;1025881
Kolda;;2016;1060125;1;1060125
Kolda;;2017;1095588;1;1095588
Kolda;;2018;1132317;1;1132317
Kédougou;;2008;122873;1;122873
Kédougou;;2009;128105;1;128105
Kédougou;;2010;133560;1;133560
Kédougou;;2011;139247;1;139247
Kédougou;;2012;145176;0;0
Kédougou;;2013;151357;0;0
Kédougou;;2015;165865;0;0
Kédougou;;2016;173780;0;0
Kédougou;;2017;182179;0;0
Kédougou;;2018;191101;0;0
Louga;;2005;876011;1;876011
Louga;;2006;896454;1;896454
Louga;;2007;917373;1;917373
Louga;;2008;570987;1;570987
Louga;;2009;588210;1;588210
Louga;;2010;605952;1;605952
Louga;;2011;624230;2;312115
Louga;;2012;643059;2;321529.5
Louga;;2013;662455;2;331227.5
Louga;;2015;705774;2;352887
Louga;;2016;728643;2;364321.5
Louga;;2017;752365;2;376182.5
Louga;;2018;776978;2;388489
Matam;;2008;122873;1;122873
Matam;;2009;128105;1;128105
Matam;;2010;133560;1;133560
Matam;;2011;139247;1;139247
Matam;;2012;145176;1;145176
Matam;;2013;151357;1;151357
Matam;;2015;165865;2;82932.5
Matam;;2016;173780;2;86890
Matam;;2017;182179;2;91089.5
Matam;;2018;191101;2;95550.5
SENEGAL;;2005;10907509;22;495795.863636364
SENEGAL;;2006;11203059;22;509229.954545455
SENEGAL;;2007;11506618;22;523028.090909091
SENEGAL;;2008;11818402;22;537200.090909091
SENEGAL;;2009;12138634;25;485545.36
SENEGAL;;2010;12467543;34;366692.441176471
SENEGAL;;2011;12805364;34;376628.352941176
SENEGAL;;2012;13152339;30;438411.3
SENEGAL;;2013;13508715;30;450290.5
SENEGAL;;2015;14285158;34;420151.705882353
SENEGAL;;2016;14696984;34;432264.235294118
SENEGAL;;2017;15125810;34;444876.764705882
SENEGAL;;2018;15572714;35;444934.685714286
Saint-Louis;;2005;727630;2;363815
Saint-Louis;;2006;744514;2;372257
Saint-Louis;;2007;761789;2;380894.5
Saint-Louis;;2008;779465;2;389732.5
Saint-Louis;;2009;797551;2;398775.5
Saint-Louis;;2010;816057;3;272019
Saint-Louis;;2011;834993;3;278331
Saint-Louis;;2012;854368;3;284789.333333333
Saint-Louis;;2013;874193;3;291397.666666667
Saint-Louis;;2015;918187;3;306062.333333333
Saint-Louis;;2016;941271;3;313757
Saint-Louis;;2017;965114;3;321704.666666667
Saint-Louis;;2018;989749;3;329916.333333333
Sédhiou;;2008;407248;0;0
Sédhiou;;2009;416012;0;0
Sédhiou;;2010;424964;1;424964
Sédhiou;;2011;434109;1;434109
Sédhiou;;2012;443451;1;443451
Sédhiou;;2013;452994;1;452994
Sédhiou;;2015;477126;1;477126
Sédhiou;;2016;489672;1;489672
Sédhiou;;2017;502548;1;502548
Sédhiou;;2018;515764;1;515764
