regions;Date;nouvelle_valeur;Value_ansd2;Value_ansd3;senegal_value
Dakar;2005;3966366.909090912;8;495795.863636364;22
Dakar;2006;4073839.63636364;8;509229.954545455;22
Dakar;2007;4184224.727272728;8;523028.090909091;22
Dakar;2008;4834800.818181819;9;537200.090909091;22
Dakar;2009;4369908.24;9;485545.36;25
Dakar;2010;5984420.64;12;498701.72;34
Dakar;2011;4519540.235294124;12;376628.352941177;34
Dakar;2012;4509373.371428568;12;375781.114285714;30
Dakar;2013;5229180.0;12;435765.0;30
Dakar;2015;5489274.852941178;13;422251.911764706;34
Dakar;2016;5658778.029411768;13;435290.617647059;34
Dakar;2017;5833314.117647056;13;448716.470588235;34
Dakar;2018;6475434.8235294055;14;462531.058823529;35
SENEGAL;2005;10907509.000000007;22;495795.863636364;22
SENEGAL;2006;11203059.00000001;22;509229.954545455;22
SENEGAL;2007;11506618.000000002;22;523028.090909091;22
SENEGAL;2008;11818402.000000004;22;537200.090909091;22
SENEGAL;2009;12138634.0;25;485545.36;25
SENEGAL;2010;16955858.48;34;498701.72;34
SENEGAL;2011;12805364.000000019;34;376628.352941177;34
SENEGAL;2012;11273433.42857142;30;375781.114285714;30
SENEGAL;2013;13072950.0;30;435765.0;30
SENEGAL;2015;14356565.000000004;34;422251.911764706;34
SENEGAL;2016;14799881.000000007;34;435290.617647059;34
SENEGAL;2017;15256359.99999999;34;448716.470588235;34
SENEGAL;2018;16188587.058823515;35;462531.058823529;35
Diourbel;2005;991591.727272728;2;495795.863636364;22
Diourbel;2006;1018459.90909091;2;509229.954545455;22
Diourbel;2007;1046056.181818182;2;523028.090909091;22
Diourbel;2008;1074400.181818182;2;537200.090909091;22
Diourbel;2009;971090.72;2;485545.36;25
Diourbel;2010;1496105.16;3;498701.72;34
Diourbel;2011;1129885.058823531;3;376628.352941177;34
Diourbel;2012;1127343.342857142;3;375781.114285714;30
Diourbel;2013;1307295.0;3;435765.0;30
Diourbel;2015;1266755.735294118;3;422251.911764706;34
Diourbel;2016;1305871.852941177;3;435290.617647059;34
